Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Testsuite1,Chrome 67.0.3396.99,,2018-07-26 15:24:07,2018-07-26 15:24:35,27.982s,PASSED
,,,,,,
Test Cases/Day3/test two,Chrome 67.0.3396.99,,2018-07-26 15:24:07,2018-07-26 15:24:35,27.669s,PASSED
openBrowser,Chrome 67.0.3396.99,,2018-07-26 15:24:08,2018-07-26 15:24:31,23.779s,PASSED
navigateToUrl,Chrome 67.0.3396.99,,2018-07-26 15:24:31,2018-07-26 15:24:32,0.852s,PASSED
click,Chrome 67.0.3396.99,,2018-07-26 15:24:32,2018-07-26 15:24:33,0.511s,PASSED
setText,Chrome 67.0.3396.99,,2018-07-26 15:24:33,2018-07-26 15:24:33,0.130s,PASSED
setEncryptedText,Chrome 67.0.3396.99,,2018-07-26 15:24:33,2018-07-26 15:24:33,0.294s,PASSED
click,Chrome 67.0.3396.99,,2018-07-26 15:24:33,2018-07-26 15:24:34,1.142s,PASSED
closeBrowser,Chrome 67.0.3396.99,,2018-07-26 15:24:34,2018-07-26 15:24:35,0.673s,PASSED
