Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Testsuite1,,,2018-07-25 11:10:04,2018-07-25 11:10:05,0.623s,PASSED
,,,,,,
Test Cases/day2/test1,,implementing variable concept,2018-07-25 11:10:04,2018-07-25 11:10:05,0.304s,PASSED
Statement - return null,,,2018-07-25 11:10:05,2018-07-25 11:10:05,0.001s,PASSED
