Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Testsuite1,Chrome 67.0.3396.99,,2018-07-26 15:22:27,2018-07-26 15:22:55,28.520s,PASSED
,,,,,,
Test Cases/Day3/test two,Chrome 67.0.3396.99,,2018-07-26 15:22:27,2018-07-26 15:22:55,28.235s,PASSED
openBrowser,Chrome 67.0.3396.99,,2018-07-26 15:22:27,2018-07-26 15:22:51,23.736s,PASSED
navigateToUrl,Chrome 67.0.3396.99,,2018-07-26 15:22:51,2018-07-26 15:22:52,1.165s,PASSED
click,Chrome 67.0.3396.99,,2018-07-26 15:22:52,2018-07-26 15:22:53,0.885s,PASSED
setText,Chrome 67.0.3396.99,,2018-07-26 15:22:53,2018-07-26 15:22:53,0.124s,PASSED
setEncryptedText,Chrome 67.0.3396.99,,2018-07-26 15:22:53,2018-07-26 15:22:53,0.299s,PASSED
click,Chrome 67.0.3396.99,,2018-07-26 15:22:53,2018-07-26 15:22:55,1.136s,PASSED
closeBrowser,Chrome 67.0.3396.99,,2018-07-26 15:22:55,2018-07-26 15:22:55,0.624s,PASSED
