Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Testsuite1,Chrome 67.0.3396.99,,2018-07-26 13:05:07,2018-07-26 13:05:35,27.727s,PASSED
,,,,,,
Test Cases/Day3/test two,Chrome 67.0.3396.99,,2018-07-26 13:05:07,2018-07-26 13:05:35,27.444s,PASSED
openBrowser,Chrome 67.0.3396.99,,2018-07-26 13:05:07,2018-07-26 13:05:31,23.672s,PASSED
navigateToUrl,Chrome 67.0.3396.99,,2018-07-26 13:05:31,2018-07-26 13:05:32,0.703s,PASSED
click,Chrome 67.0.3396.99,,2018-07-26 13:05:32,2018-07-26 13:05:32,0.604s,PASSED
setText,Chrome 67.0.3396.99,,2018-07-26 13:05:32,2018-07-26 13:05:33,0.125s,PASSED
setEncryptedText,Chrome 67.0.3396.99,,2018-07-26 13:05:33,2018-07-26 13:05:33,0.298s,PASSED
click,Chrome 67.0.3396.99,,2018-07-26 13:05:33,2018-07-26 13:05:34,1.143s,PASSED
closeBrowser,Chrome 67.0.3396.99,,2018-07-26 13:05:34,2018-07-26 13:05:35,0.624s,PASSED
