Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Testsuite1,Chrome 67.0.3396.99,,2018-07-26 15:04:46,2018-07-26 15:05:15,28.431s,PASSED
,,,,,,
Test Cases/Day3/test two,Chrome 67.0.3396.99,,2018-07-26 15:04:47,2018-07-26 15:05:15,28.142s,PASSED
openBrowser,Chrome 67.0.3396.99,,2018-07-26 15:04:47,2018-07-26 15:05:11,23.786s,PASSED
navigateToUrl,Chrome 67.0.3396.99,,2018-07-26 15:05:11,2018-07-26 15:05:12,1.077s,PASSED
click,Chrome 67.0.3396.99,,2018-07-26 15:05:12,2018-07-26 15:05:12,0.846s,PASSED
setText,Chrome 67.0.3396.99,,2018-07-26 15:05:12,2018-07-26 15:05:13,0.121s,PASSED
setEncryptedText,Chrome 67.0.3396.99,,2018-07-26 15:05:13,2018-07-26 15:05:13,0.297s,PASSED
click,Chrome 67.0.3396.99,,2018-07-26 15:05:13,2018-07-26 15:05:14,1.140s,PASSED
closeBrowser,Chrome 67.0.3396.99,,2018-07-26 15:05:14,2018-07-26 15:05:15,0.630s,PASSED
