Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Testsuite1,Chrome 67.0.3396.99,,2018-07-26 15:18:12,2018-07-26 15:18:41,28.968s,PASSED
,,,,,,
Test Cases/Day3/test two,Chrome 67.0.3396.99,,2018-07-26 15:18:12,2018-07-26 15:18:41,28.713s,PASSED
openBrowser,Chrome 67.0.3396.99,,2018-07-26 15:18:12,2018-07-26 15:18:36,23.766s,PASSED
navigateToUrl,Chrome 67.0.3396.99,,2018-07-26 15:18:36,2018-07-26 15:18:38,1.878s,PASSED
click,Chrome 67.0.3396.99,,2018-07-26 15:18:38,2018-07-26 15:18:38,0.501s,PASSED
setText,Chrome 67.0.3396.99,,2018-07-26 15:18:38,2018-07-26 15:18:38,0.133s,PASSED
setEncryptedText,Chrome 67.0.3396.99,,2018-07-26 15:18:38,2018-07-26 15:18:39,0.290s,PASSED
click,Chrome 67.0.3396.99,,2018-07-26 15:18:39,2018-07-26 15:18:40,1.222s,PASSED
closeBrowser,Chrome 67.0.3396.99,,2018-07-26 15:18:40,2018-07-26 15:18:41,0.675s,PASSED
