Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Testsuite1,Chrome 67.0.3396.99,,2018-07-26 13:04:07,2018-07-26 13:04:35,27.820s,PASSED
,,,,,,
Test Cases/Day3/test two,Chrome 67.0.3396.99,,2018-07-26 13:04:07,2018-07-26 13:04:35,27.531s,PASSED
openBrowser,Chrome 67.0.3396.99,,2018-07-26 13:04:07,2018-07-26 13:04:31,23.746s,PASSED
navigateToUrl,Chrome 67.0.3396.99,,2018-07-26 13:04:31,2018-07-26 13:04:32,0.847s,PASSED
click,Chrome 67.0.3396.99,,2018-07-26 13:04:32,2018-07-26 13:04:33,0.505s,PASSED
setText,Chrome 67.0.3396.99,,2018-07-26 13:04:33,2018-07-26 13:04:33,0.142s,PASSED
setEncryptedText,Chrome 67.0.3396.99,,2018-07-26 13:04:33,2018-07-26 13:04:33,0.307s,PASSED
click,Chrome 67.0.3396.99,,2018-07-26 13:04:33,2018-07-26 13:04:34,1.131s,PASSED
closeBrowser,Chrome 67.0.3396.99,,2018-07-26 13:04:34,2018-07-26 13:04:35,0.617s,PASSED
