Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Testsuite1,Chrome 67.0.3396.99,,2018-07-25 11:15:02,2018-07-25 11:15:36,33.982s,PASSED
,,,,,,
Test Cases/Day1/test1,Chrome 67.0.3396.99,orange login,2018-07-25 11:15:03,2018-07-25 11:15:36,33.685s,PASSED
openBrowser,Chrome 67.0.3396.99,,2018-07-25 11:15:03,2018-07-25 11:15:27,23.847s,PASSED
navigateToUrl,Chrome 67.0.3396.99,,2018-07-25 11:15:27,2018-07-25 11:15:31,4.514s,PASSED
setText,Chrome 67.0.3396.99,,2018-07-25 11:15:31,2018-07-25 11:15:31,0.121s,PASSED
setEncryptedText,Chrome 67.0.3396.99,,2018-07-25 11:15:31,2018-07-25 11:15:32,0.282s,PASSED
click,Chrome 67.0.3396.99,,2018-07-25 11:15:32,2018-07-25 11:15:36,4.036s,PASSED
closeBrowser,Chrome 67.0.3396.99,,2018-07-25 11:15:36,2018-07-25 11:15:36,0.616s,PASSED
