Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Testsuite1,Chrome 67.0.3396.99,,2018-07-25 11:20:25,2018-07-25 11:21:00,34.693s,PASSED
,,,,,,
Test Cases/Day1/test1,Chrome 67.0.3396.99,orange login,2018-07-25 11:20:26,2018-07-25 11:21:00,34.392s,PASSED
openBrowser,Chrome 67.0.3396.99,,2018-07-25 11:20:26,2018-07-25 11:20:50,23.894s,PASSED
navigateToUrl,Chrome 67.0.3396.99,,2018-07-25 11:20:50,2018-07-25 11:20:54,4.619s,PASSED
setText,Chrome 67.0.3396.99,,2018-07-25 11:20:54,2018-07-25 11:20:55,0.152s,PASSED
setEncryptedText,Chrome 67.0.3396.99,,2018-07-25 11:20:55,2018-07-25 11:20:55,0.280s,PASSED
click,Chrome 67.0.3396.99,,2018-07-25 11:20:55,2018-07-25 11:20:59,4.150s,PASSED
closeBrowser,Chrome 67.0.3396.99,,2018-07-25 11:20:59,2018-07-25 11:21:00,1.020s,PASSED
