Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Testsuite1,Chrome 67.0.3396.99,,2018-07-26 15:01:09,2018-07-26 15:01:37,28.700s,PASSED
,,,,,,
Test Cases/Day3/test two,Chrome 67.0.3396.99,,2018-07-26 15:01:09,2018-07-26 15:01:37,28.415s,PASSED
openBrowser,Chrome 67.0.3396.99,,2018-07-26 15:01:09,2018-07-26 15:01:33,23.697s,PASSED
navigateToUrl,Chrome 67.0.3396.99,,2018-07-26 15:01:33,2018-07-26 15:01:35,1.729s,PASSED
click,Chrome 67.0.3396.99,,2018-07-26 15:01:35,2018-07-26 15:01:35,0.528s,PASSED
setText,Chrome 67.0.3396.99,,2018-07-26 15:01:35,2018-07-26 15:01:35,0.132s,PASSED
setEncryptedText,Chrome 67.0.3396.99,,2018-07-26 15:01:35,2018-07-26 15:01:36,0.290s,PASSED
click,Chrome 67.0.3396.99,,2018-07-26 15:01:36,2018-07-26 15:01:37,1.156s,PASSED
closeBrowser,Chrome 67.0.3396.99,,2018-07-26 15:01:37,2018-07-26 15:01:37,0.611s,PASSED
