Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Testsuite1,Chrome 67.0.3396.99,,2018-07-25 11:10:06,2018-07-25 11:10:39,32.569s,PASSED
,,,,,,
Test Cases/Day1/test1,Chrome 67.0.3396.99,orange login,2018-07-25 11:10:06,2018-07-25 11:10:39,32.265s,PASSED
openBrowser,Chrome 67.0.3396.99,,2018-07-25 11:10:07,2018-07-25 11:10:30,23.876s,PASSED
navigateToUrl,Chrome 67.0.3396.99,,2018-07-25 11:10:30,2018-07-25 11:10:35,4.754s,PASSED
setText,Chrome 67.0.3396.99,,2018-07-25 11:10:35,2018-07-25 11:10:35,0.150s,PASSED
setEncryptedText,Chrome 67.0.3396.99,,2018-07-25 11:10:35,2018-07-25 11:10:36,0.268s,PASSED
click,Chrome 67.0.3396.99,,2018-07-25 11:10:36,2018-07-25 11:10:38,2.271s,PASSED
closeBrowser,Chrome 67.0.3396.99,,2018-07-25 11:10:38,2018-07-25 11:10:39,0.617s,PASSED
